name,institution_id,City_id
”Dr. Anthony J. Esposito”,1,1
"Dr. Harry Lee McDaris, Jr",2,2
”Dr. Mary Downs”,null,3
”Dr. George Wang”,null,4
”Dr. Joseph R Cohen (DDS)”,3,5
”Dr. James L. Frey”,4,5
”Dr. Alan Hamilton (PCP)”,null,5
”Dr. Constantine G. Moschonas ”,5,6
”Dr. Jeffrey D. Steier ”,null,6
”Dr. Stephen D. Chakmakian PCP)”,null,7
”Dr. Joseph R. O'Connell (PCP)”,6,8
”Dr. William L. Griggs”,7,9
”Dr. Duane L. Birky”,8,9
”Dr. R. Wendell Ross (PCP)”,9,10
”Dr. Jack H. Florin”,10,11
”Dr. Robert William Hogan II (PCP) (Kaiser)”,null,12
”Dr. Yu Dennis Cheng”,null,12
”Dr. Antonio A. De Salles”,11,13
”Dr. Stephen Graff-Radford (DDS)”,12,13
”Dr. Paul B. Kazimiroff”,null,13
”Dr. Alan M. Rapoport”,13,13
”Dr. Kenneth S. Peters”,14,14
”Dr. Phillip O'Carroll”,15,15
”Dr. Olana Aberra (PCP)”,null,16
”Dr. John Bissell ”,16,16
"Dr. Daniel McDaniel",17,17
”Dr. Hamid Rabiee”,null,18
”Dr. Peter Goadsby”,18,19
”Dr. Jerome Goldstein”,19,19
”Dr. Neil H. Raskin ”,20,19
”Dr. Eric Collins”,null,20
”Dr. Kulveen Sachdeva”,null,20
”Dr. David E. Sosin ”,null,21
”Dr. David B. Kudrow”,null,22
"Sheena Aurora, MD",21,23
"Robert P. Cowan, MD",21,23
”Dr. John A. Myers”,22,24
”Dr. Pamela R. Kinder”,23,25
”Dr. Judy C. Lane”,23,25
”Dr. Cori Millen”,24,26
”Dr. Joseph Schmitt”,null,27
”Dr. Alexander Komm”,25,28
”Dr. Tanya R. Bilchik”,26,29
”Dr. James B Butler”,27,30
”Dr. Sung Ho Bae”,28,31
”[No current listings]”,null,32
”Dr. Todd C. Hartley”,null,33
”Dr. Samuel K. Snyder (DO)”,null,34
”Dr. Michael L. Waters”,null,35
”Dr. Steven A. Kobetz”,29,36
”Dr. Steve D. Wheeler”,30,36
”Dr. James D Torrisi”,null,37
”Dr. James L. Cimera”,31,38
”Dr. John F. Wilker (PCP)”,32,39
”Dr. Roberta S. Rose”,33,40
”Dr. Frank J. Wierichs”,null,41
”Dr. Ellis V. Hedaya”,34,42
”Dr. Jerome M. Walker”,null,43
”Dr. Kenneth J. Lazarus”,35,44
"Dr. Micheal Todd Williamson",36,45
”Dr. Robert G. Bashuk”,37,46
”[No current listings]”,null,47
”[No current listings]”,null,47
”Dr. Karen Burgner (PCP)”,38,48
”Diamond Doctors”,39,49
”Dr. Robert Wright”,40,49
”Dr. Kenneth L. Moore”,null,49
”Dr. Thomas Freedom”,41,50
”Dr. Trupti Gokani”,42,51
”Dr. Lawrence Robbins”,43,52
”Dr. Jeffery Royce”,44,53
”Dr. Robert J. Alonso”,45,54
”Dr. Bette G Maybury”,null,54
”Dr. Kathryn A. Hanlon”,46,55
”Dr.Larry Salberg”,46,55
”Dr. Joseph F. Seipel”,null,56
"Dr. Kelly Scott Bast (PCP)",47,57
